2024-09-20 11:48:15,723 INFO    StreamThr :28768 [internal.py:wandb_internal():86] W&B internal server running at pid: 28768, started at: 2024-09-20 11:48:15.723455
2024-09-20 11:48:15,724 DEBUG   HandlerThread:28768 [handler.py:handle_request():146] handle_request: status
2024-09-20 11:48:15,738 INFO    WriterThread:28768 [datastore.py:open_for_write():87] open: D:\Github\Pictures\wandb\offline-run-20240920_114815-0ywpj37j\run-0ywpj37j.wandb
2024-09-20 11:48:15,792 DEBUG   HandlerThread:28768 [handler.py:handle_request():146] handle_request: run_start
2024-09-20 11:48:15,816 DEBUG   HandlerThread:28768 [system_info.py:__init__():27] System info init
2024-09-20 11:48:15,816 DEBUG   HandlerThread:28768 [system_info.py:__init__():42] System info init done
2024-09-20 11:48:15,816 INFO    HandlerThread:28768 [system_monitor.py:start():194] Starting system monitor
2024-09-20 11:48:15,817 INFO    SystemMonitor:28768 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-09-20 11:48:15,817 INFO    HandlerThread:28768 [system_monitor.py:probe():214] Collecting system info
2024-09-20 11:48:15,824 INFO    SystemMonitor:28768 [interfaces.py:start():190] Started cpu monitoring
2024-09-20 11:48:15,824 INFO    SystemMonitor:28768 [interfaces.py:start():190] Started disk monitoring
2024-09-20 11:48:15,825 INFO    SystemMonitor:28768 [interfaces.py:start():190] Started gpu monitoring
2024-09-20 11:48:15,835 INFO    SystemMonitor:28768 [interfaces.py:start():190] Started memory monitoring
2024-09-20 11:48:15,839 DEBUG   HandlerThread:28768 [system_info.py:probe():151] Probing system
2024-09-20 11:48:15,849 INFO    SystemMonitor:28768 [interfaces.py:start():190] Started network monitoring
2024-09-20 11:48:15,850 DEBUG   HandlerThread:28768 [system_info.py:_probe_git():136] Probing git
2024-09-20 11:48:15,976 DEBUG   HandlerThread:28768 [system_info.py:_probe_git():144] Probing git done
2024-09-20 11:48:15,976 DEBUG   HandlerThread:28768 [system_info.py:probe():199] Probing system done
